0 41997
1 42138
2 41873
3 41842
4 41847
5 41697
6 41459
7 41782
8 41352
9 41802
10 42197
11 41704
12 42179
13 41967
14 42107
15 42188
16 42033
17 41967
18 42068
19 41641
20 42011
21 41982
22 42030
23 41940
24 42313
25 41809
26 41573
27 41939
28 41833
29 42225
30 41836
31 42012
32 42172
33 41894
34 42015
35 42217
36 41922
37 41918
38 41981
39 41915
40 41982
41 41739
42 41865
43 41886
44 41881
45 42110
46 41919
47 41877
48 42035
49 41805
50 41908
51 41967
52 42014
53 42170
54 42045
55 41782
56 42014
57 41806
58 42398
59 41992
60 41801
61 42231
62 41949
63 41947
64 42304
65 42100
66 42016
67 41779
68 42120
69 41960
70 41765
71 42065
72 41998
73 42177
74 41733
75 42235
76 42175
77 42022
78 41863
79 41825
80 41759
81 41774
82 41885
83 41974
84 41891
85 41631
86 41912
87 41753
88 42017
89 41478
90 42432
91 41716
92 41888
93 42102
94 41798
95 42189
96 41863
97 41772
98 41819
99 42014
